sample_id,raw_start,raw_end,window_id,source_node,target_node,active,focal_prediction_delta_abs,paired_effect_mean
1713,13137,13328,1,0,4,True,0.001813545124605298,0.00011251531115983823
1785,13209,13400,1,0,4,True,0.0008463434060104191,-0.00047094801602025446
1856,13280,13471,1,0,4,True,0.002470392966642976,0.0003010290450989627
1927,13351,13542,1,0,4,False,0.0,0.0
1999,13423,13614,1,0,4,True,0.002669282490387559,-0.0005346085168779469
2070,13494,13685,1,0,4,False,0.0,0.0
2142,13566,13757,1,0,4,True,0.0014565481105819345,-0.0004809629216861839
2213,13637,13828,1,0,4,True,0.0013250518823042512,8.121110463085116e-06
2284,13708,13899,1,0,4,True,0.0018772720359265804,-0.00044531662178297435
2356,13780,13971,1,0,4,True,0.0006168822874315083,-0.0005215064492613936
2427,13851,14042,1,0,4,False,0.0,0.0
2498,13922,14113,1,0,4,True,0.002153832698240876,-0.00022288282455589902
2570,13994,14185,1,0,4,False,0.0,0.0
2641,14065,14256,1,0,4,True,0.00138813816010952,-0.001375393803195598
2713,14137,14328,1,0,4,True,0.0011229896917939186,-0.0012002744165679011
2784,14208,14399,1,0,4,False,0.0,0.0
0,11424,11615,1,5,4,True,0.001664431649260223,-0.0013088857074483084
71,11495,11686,1,5,4,False,0.0,0.0
143,11567,11758,1,5,4,True,0.0030665064696222544,-0.0011366888021047301
214,11638,11829,1,5,4,True,0.00021245267998892814,-9.908810114631284e-05
286,11710,11901,1,5,4,True,0.002753256820142269,-0.0015690417494624853
357,11781,11972,1,5,4,True,0.0017687907675281167,-0.001121902726411533
428,11852,12043,1,5,4,False,0.0,0.0
500,11924,12115,1,5,4,True,0.001481656450778246,-0.0007016060318654547
571,11995,12186,1,5,4,False,0.0,0.0
642,12066,12257,1,5,4,True,0.0015773847699165344,-0.0007793194560620645
714,12138,12329,1,5,4,True,0.0014112546341493726,-0.000115775680079913
785,12209,12400,1,5,4,True,0.0013760244473814964,-0.001796284206927969
857,12281,12472,1,5,4,True,0.000956551288254559,-0.0009902578581554384
928,12352,12543,1,5,4,False,0.0,0.0
999,12423,12614,1,5,4,True,0.0017401373479515314,-0.0006574545673524532
1071,12495,12686,1,5,4,False,0.0,0.0
1142,12566,12757,1,5,4,True,0.0019273554207757115,-0.0014842315084444215
1214,12638,12829,1,5,4,True,0.0005175714613869786,-0.0006677970567789788
1285,12709,12900,1,5,4,True,0.0015122058102861047,-0.0005375072718239748
1356,12780,12971,1,5,4,True,0.0012635510647669435,-0.00046547655410204944
1428,12852,13043,1,5,4,False,0.0,0.0
1499,12923,13114,1,5,4,True,0.0008025983697734773,-0.0006922870346058446
1570,12994,13185,1,5,4,False,0.0,0.0
1642,13066,13257,1,5,4,True,0.0036735187750309706,0.0005340072003981243
1713,13137,13328,1,5,4,True,0.0015327038709074259,-0.0001899291158994087
1785,13209,13400,1,5,4,True,0.0014768597902730107,0.00020806962857022882
1856,13280,13471,1,5,4,True,0.00239228131249547,0.00021690880217087967
1927,13351,13542,1,5,4,False,0.0,0.0
