sample_id,raw_start,raw_end,source_node,target_node,active,focal_prediction_delta_abs,paired_effect_mean
0,11424,11615,0,2,True,0.0024643850047141314,0.000788808916695416
71,11495,11686,0,2,False,0.0,-0.0018657387350685894
143,11567,11758,0,2,True,0.0026536781806498766,0.001593203224183526
214,11638,11829,0,2,False,0.0,-0.002695444002165459
286,11710,11901,0,2,True,0.0028430107049643993,0.0015048209868837148
357,11781,11972,0,2,True,0.0009487434290349483,-0.0011407079873606563
428,11852,12043,0,2,True,0.0030298475176095963,0.001947166124591604
500,11924,12115,0,2,True,0.0022336156107485294,0.001171186554711312
571,11995,12186,0,2,False,0.0,-0.0016504298604559154
642,12066,12257,0,2,True,0.0014225214254111052,0.0006061600695829838
714,12138,12329,0,2,False,0.0,-0.0032150838698726146
785,12209,12400,0,2,True,0.0027781063690781593,0.0011460246809292586
857,12281,12472,0,2,True,0.0005527534522116184,-0.0015334913041442633
928,12352,12543,0,2,True,0.007038085721433163,0.006187355169095099
999,12423,12614,0,2,True,0.0029122079722583294,0.0014053745719138533
1071,12495,12686,0,2,False,0.0,-0.0015542134526185692
1142,12566,12757,0,2,True,0.003907639533281326,0.002570703503442928
1214,12638,12829,0,2,False,0.0,-0.0024276654585264623
1285,12709,12900,0,2,True,0.0015349584864452481,-0.00016009017126634713
1356,12780,12971,0,2,True,0.0016594817861914635,-0.000375639705453068
1428,12852,13043,0,2,True,0.004381755832582712,0.002540068351663649
1499,12923,13114,0,2,True,0.004794128704816103,0.0032661173958331347
1570,12994,13185,0,2,False,0.0,-0.002442205464467406
1642,13066,13257,0,2,True,0.0016095757018774748,0.00029379341285675755
1713,13137,13328,0,2,False,0.0,-0.0034349901136010884
1785,13209,13400,0,2,True,0.00198203488253057,0.0008659753890242427
1856,13280,13471,0,2,True,0.000870682648383081,-0.0014020671485923232
1927,13351,13542,0,2,True,0.0039008264429867268,0.0011034678551368414
1999,13423,13614,0,2,True,0.004092774353921413,0.0025301708723418415
2070,13494,13685,0,2,False,0.0,-0.00340770804323256
2142,13566,13757,0,2,True,0.0016710758209228516,0.0005519372760318219
2213,13637,13828,0,2,False,0.0,-0.002367323904763907
2284,13708,13899,0,2,True,0.003238741075620055,0.0012380174244754016
2356,13780,13971,0,2,True,0.0013938455376774073,0.0003059683134779335
2427,13851,14042,0,2,True,0.00106718298047781,-0.0006651607691310346
2498,13922,14113,0,2,True,0.003056959016248584,0.0014386360649950801
2570,13994,14185,0,2,False,0.0,-0.0024576765252277257
2641,14065,14256,0,2,True,0.00394072663038969,0.0026720164285507055
2713,14137,14328,0,2,False,0.0,-0.0021630215807817875
2784,14208,14399,0,2,True,0.005568875931203365,0.004438188602216541
0,11424,11615,0,3,True,0.0021050218492746353,0.00039350944571197037
71,11495,11686,0,3,False,0.0,-0.0018657387350685894
143,11567,11758,0,3,True,0.0028623449616134167,0.0018227366832434199
214,11638,11829,0,3,True,0.00026148356846533716,-0.0024078120768535882
286,11710,11901,0,3,True,0.0038115442730486393,0.002570207911776379
357,11781,11972,0,3,True,0.0026422743685543537,0.0007221760461106896
428,11852,12043,0,3,False,0.0,-0.001385666144778952
500,11924,12115,0,3,True,0.0015888797352090478,0.00046197709161788225
571,11995,12186,0,3,False,0.0,-0.0016504298604559154
642,12066,12257,0,3,True,0.001563843572512269,0.0007616144313942641
714,12138,12329,0,3,True,0.0009650705032981932,-0.002153506316244602
785,12209,12400,0,3,True,0.0024449315387755632,0.0007795323675964029
857,12281,12472,0,3,True,0.00173666188493371,-0.00023119202814996225
928,12352,12543,0,3,False,0.0,-0.00155453912448138
999,12423,12614,0,3,True,0.0016744434833526611,4.383363411761829e-05
1071,12495,12686,0,3,False,0.0,-0.0015542134526185692
1142,12566,12757,0,3,True,0.002934931544587016,0.001500724715879187
1214,12638,12829,0,3,True,0.000992627115920186,-0.0013357756310142578
1285,12709,12900,0,3,True,0.0018873647786676884,0.00022755675017833705
1356,12780,12971,0,3,True,0.0013933399459347129,-0.0006683957297354938
1428,12852,13043,0,3,False,0.0,-0.0022798630641773345
1499,12923,13114,0,3,True,0.0016182216349989176,-0.00022738038096576925
1570,12994,13185,0,3,False,0.0,-0.002442205464467406
1642,13066,13257,0,3,True,0.0025270471815019846,0.0013030120404437183
1713,13137,13328,0,3,True,0.0016601397655904293,-0.0016088363714516162
1785,13209,13400,0,3,True,0.0012309669982641935,3.98007163312287e-05
1856,13280,13471,0,3,True,0.0018264824757352471,-0.00035068733850494036
1927,13351,13542,0,3,False,0.0,-0.003187441232148558
1999,13423,13614,0,3,True,0.0023316231090575457,0.000592904502991587
2070,13494,13685,0,3,False,0.0,-0.00340770804323256
2142,13566,13757,0,3,True,0.0018029131460934877,0.0006969583337195218
2213,13637,13828,0,3,True,0.0012665139511227608,-0.0009741585585288704
2284,13708,13899,0,3,True,0.0026005003601312637,0.0005359526374377312
2356,13780,13971,0,3,True,0.0010144764091819525,-0.00011133772786706695
2427,13851,14042,0,3,False,0.0,-0.0018390620476566254
2498,13922,14113,0,3,True,0.001813071663491428,7.03599769622087e-05
2570,13994,14185,0,3,False,0.0,-0.0024576765252277257
2641,14065,14256,0,3,True,0.001786497188732028,0.00030236404272727664
2713,14137,14328,0,3,True,0.0014508949825540185,-0.0005670370999723675
2784,14208,14399,0,3,False,0.0,-0.00168757492210716
0,11424,11615,0,4,True,0.0033054943196475506,-0.0017764465650543567
71,11495,11686,0,4,True,0.003902750788256526,-0.0005570046836510297
143,11567,11758,0,4,True,0.004808452446013689,0.0005096411186968908
214,11638,11829,0,4,True,0.00031026414944790304,-0.00468648738169577
286,11710,11901,0,4,True,0.005937088746577501,0.001658071624115109
357,11781,11972,0,4,True,0.0035790440160781145,-0.000857683061622083
428,11852,12043,0,4,True,0.006411892361938953,0.0018116297316737471
500,11924,12115,0,4,True,0.002697942778468132,-0.0005984517512843011
571,11995,12186,0,4,True,0.0022817873395979404,-0.0012557072041090578
642,12066,12257,0,4,True,0.0023684599436819553,-0.0001704948168480768
714,12138,12329,0,4,True,0.0008452343754470348,-0.005580315529368818
785,12209,12400,0,4,True,0.006086005829274654,8.951027411967499e-05
857,12281,12472,0,4,True,0.00151442876085639,-0.0022894080728292467
928,12352,12543,0,4,True,0.0037210332229733467,-0.00011642484460026034
999,12423,12614,0,4,True,0.0021555672865360975,-0.002957578795030713
1071,12495,12686,0,4,True,0.0015589368995279074,-0.0021831094985827804
1142,12566,12757,0,4,True,0.00424405001103878,-0.0002794731059111658
1214,12638,12829,0,4,True,0.0012594842119142413,-0.004011378937866539
1285,12709,12900,0,4,True,0.0026438210625201464,-0.0011055092560127377
1356,12780,12971,0,4,True,0.002469422994181514,-0.002388366195373237
1428,12852,13043,0,4,True,0.00582753773778677,-0.0012666791910305618
1499,12923,13114,0,4,True,0.005226791836321354,-0.000787391769699752
1570,12994,13185,0,4,True,0.002297538798302412,-0.0026143516646698114
1642,13066,13257,0,4,True,0.004089362919330597,0.00017159658018499595
1713,13137,13328,0,4,True,0.001813545124605298,-0.004537039459683001
1785,13209,13400,0,4,True,0.0028245504945516586,0.0004175319685600699
1856,13280,13471,0,4,True,0.0027632741257548332,-0.002626659674569964
1927,13351,13542,0,4,True,0.0059045953676104546,-0.00014871747698634846
1999,13423,13614,0,4,True,0.008003659546375275,0.002435143012553454
2070,13494,13685,0,4,True,0.0011109119514003396,-0.003904160298407078
2142,13566,13757,0,4,True,0.005749284289777279,0.001559338765218854
2213,13637,13828,0,4,True,0.0013250518823042512,-0.002966063647181727
2284,13708,13899,0,4,True,0.004781239666044712,0.0018485620967112482
2356,13780,13971,0,4,True,0.0011314729927107692,-0.0014312192448414861
2427,13851,14042,0,4,True,0.008778535760939121,0.003845748631283641
2498,13922,14113,0,4,True,0.00435104314237833,0.00018004928715527075
2570,13994,14185,0,4,True,0.001699211192317307,-0.0029453175142407414
2641,14065,14256,0,4,True,0.006922991015017033,0.0023811686551198363
